ccdB_K12_t30 ccdB_K12_t60 ccdB_K12_t90 lacZ_K12_t30 lacZ_K12_t60 lacZ_K12_t90 lacZ_MG1063_t0 lacZ_MG1063_t30 lacZ_MG1063_t60 lacZ_MG1063_t90 lacZ_MG1063_120 ccdB_MG1063_t0 ccdB_MG1063_t30 ccdB_MG1063_t60 lacZ_W1863_t30 lacZ_W1863_t60 lacZ_W1863_t90 ccdB_W1872_t0 ccdB_W1872_t30 ccdB_W1872_t60 ccdB_W1872_t90 M9_K_arcA_anaerobic M9_K_oxyR_anaerobic M9_K_soxS_anaerobic fnr_wtAnaerobic cybr_N_log MG1063_uninduced_t0 MG1063_uninduced_t60 norfloxacin_MG1063_t30 norfloxacin_MG1063_t60 norfloxacin_chelator_MG1063_t0 BW25113_uninduced_t30 BW25113_uninduced_t60 BW25113recA_uninduced_t0 BW25113recA_uninduced_t30 BW25113recA_uninduced_t60 ph5.7_anaerobic ph7_anaerobic ph8.5_anaerobic MG1655_t150_aerobic MG1655_t86400_cecum suspension_4hr TG1_pBS_Kan_H_prod TG1_pBS_Kan_Synhox_H_prod rb_del_rpoS_biofilm rb_wt_biofilm rb_del_rpoS_exponential HU_wt_LB_exp HU_wt_LB_trans HU_hupA_LB_trans HU_hupB_LB_exp bform_biofilm_maturation Fp_K12_exp Fp_MG1655_biofilm Fp_MG1655_pBR322_biofilm
b4634 9.147310256958 9.0455598831177 9.3689298629761 9.0445499420166 10.378999710083 11.687100410461 8.823009967804 8.8877301216125 9.0971651077271 8.9821753501892 8.6935396194458 8.824520111084 8.862410068512 9.1409850120544 9.0859603881836 9.2015695571899 9.5831899642944 8.9929800033569 8.9654502868652 9.3183403015137 9.5144395828247 8.56192334493 8.5808566411336 8.5659068425496 9.336563428243 9.5696349143982 8.925479888916 9.0261602401733 9.3314399719238 9.2443399429321 8.6955604553223 8.4794397354126 8.4033002853394 8.9462203979492 9.1046895980835 8.8136596679688 8.3017201423645 8.3285341262817 8.1895482063293 8.8534951210022 9.201296043396 8.0459995269775 8.5376996994019 9.6711397171021 8.4189929962158 10.55023988088 7.9665865898132 9.2650699615479 9.6222295761108 9.2897596359253 9.5560102462769 8.0032800038656 8.9562702178955 7.9248833656311 7.6801699002584
b3241 7.0914402008057 7.1660299301147 7.0820498466492 7.0063800811768 7.2995100021362 7.031720161438 7.0543251037598 7.1158101558685 7.3442051410675 7.1292350292206 7.30482006073 6.9936199188232 7.272360086441 7.3013000488281 6.9656200408936 6.9764099121094 7.3006501197815 6.8827900886536 6.914589881897 7.0711498260498 7.0427298545837 7.1451066335042 7.246076742808 7.2150298754374 7.3201465606689 7.1980249881744 7.1940898895264 7.2895998954773 7.1695098876953 7.1904401779175 7.2142100334167 7.2180099487305 7.1595001220703 6.8404698371887 7.0236101150513 6.9510197639465 7.0328859329224 6.7883861541748 6.771053981781 6.7625949382782 7.2677599906921 7.1427898406982 6.9435701370239 6.9298701286316 7.3830766677856 7.5693701108297 7.1186434427897 7.2563049793243 7.1808400154114 7.3339200019836 7.2144198417664 7.4912099838257 7.8892147541046 7.3955467542013 7.1677134831746
b3240 7.4011998176575 7.1637201309204 7.4175100326538 7.2842798233032 7.755569934845 7.607940196991 7.1602900028229 7.1617748737335 7.2558100223541 7.202684879303 7.2097702026367 7.0957100391388 7.2823600769043 7.4002048969269 7.1620402336121 7.2813501358032 7.3238101005554 7.0927700996399 7.2835302352905 7.2364802360535 7.3461198806763 7.1116199493408 7.0847233136495 7.2102667490641 7.3350267410278 7.44793009758 7.2409300804138 7.2625298500061 7.3435201644897 7.4822001457214 7.1710901260376 6.9991297721863 6.9313597679138 7.0828499794006 7.1777400970459 7.1248002052307 7.0934039115906 6.9421480178833 7.0667459487915 7.0644052028656 7.3664539337158 7.1826400756836 7.0662798881531 7.6479997634888 7.2942900657654 7.9394332567851 7.1420733133952 7.4482100009918 7.476490020752 7.6698098182678 7.4931402206421 7.0384565989176 7.5577399730682 6.9663667678833 7.2333265940348
b3243 8.0787801742554 8.0914297103882 7.8964900970459 7.7090997695923 7.7201700210571 7.3456897735596 7.7548999786377 7.9101400375366 7.9609696865082 8.0076398849487 8.1050500869751 7.7296450138092 7.8436648845673 7.6506149768829 7.7340497970581 7.9156098365784 8.259819984436 7.6637802124023 7.7030501365662 7.75151014328 7.6422100067139 8.0378832817078 8.3091700871785 8.2921768824259 7.80060338974 7.9421000480652 7.908579826355 8.0392999649048 7.7754998207092 7.6498498916626 7.8543000221252 7.905210018158 7.8721699714661 7.7317099571228 7.8696799278259 7.857470035553 7.806312084198 7.6410941123962 7.6074319839478 7.625364780426 7.9435580253601 7.5283498764038 8.30006980896 8.275110244751 7.9685700734456 8.0408466657003 8.1320832570394 8.1054248809814 8.0345697402954 8.0389499664307 8.187029838562 8.1305967966715 7.5467350482941 7.7100200653076 7.3902966181437
b3242 7.0953001976013 7.0347399711609 7.1224298477173 7.0898098945618 6.8676099777222 6.791600227356 7.0188050270081 6.9526300430298 7.081255197525 6.8866648674011 7.1016998291016 6.9833149909973 6.9644801616669 7.1865849494934 6.827700138092 6.9812002182007 6.7025699615479 6.9430999755859 6.9193000793457 6.4242701530457 6.9389700889587 6.8743600845337 6.9426598548889 7.0223199526469 7.3921100298564 7.1105749607086 6.9304599761963 7.0223097801208 6.9629898071289 6.7813901901245 6.8575701713562 6.9580202102661 6.6823902130127 6.8761801719666 7.0827097892761 6.9848499298096 7.3080121040344 7.4824721336365 7.4220160484314 6.8865101337433 7.2926239967346 6.6081500053406 6.5559802055359 7.264790058136 7.1254000663757 6.934406598409 7.2232365608215 7.1058599948883 7.0196499824524 7.0773801803589 7.0605602264404 7.7271267573039 7.799535036087 8.0707701047262 8.2416165669759
b2836 9.0584897994995 8.8731698989868 8.7425098419189 8.9801597595215 9.0671997070312 8.7684297561646 8.76243019104 8.6654000282288 8.7081146240234 8.5699300765991 8.8151502609253 8.8144850730896 8.7275099754333 8.5370802879333 8.7616701126099 8.7814798355103 8.5535497665405 8.9564199447632 8.571590423584 8.3474397659302 8.7217102050781 8.9133234024048 9.0410566329956 8.9427932103475 9.0710566838582 8.7785048484802 8.9122695922852 8.7189998626709 8.5963296890259 8.550479888916 8.7631397247314 9.1138296127319 8.956259727478 8.8247699737549 8.7676296234131 8.855899810791 9.2449600219727 9.0349279403687 8.9587860107422 8.9376697540283 9.4309320449829 9.1558399200439 8.2604503631592 8.5648002624512 8.9530766805013 8.9444100062052 9.1225032806396 8.7245402336121 8.8367900848389 8.6956996917725 8.5955801010132 7.8652901649475 8.3765797615051 8.2301665941874 8.4663001696269
b0885 8.6534099578857 8.7049102783203 8.8217401504517 8.7197504043579 8.5740203857422 9.0922603607178 8.4797554016113 8.4814600944519 8.3884148597717 8.3363652229309 8.3808498382568 8.5300097465515 8.4371747970581 8.3302702903748 8.6114196777344 8.5210695266724 8.6328897476196 8.6116600036621 8.4370803833008 8.5538902282715 8.306300163269 8.924903233846 9.2571398417155 9.2774063746134 8.5556033452352 8.4716100692749 8.4732599258423 8.5684404373169 8.5102996826172 8.2018203735352 8.7792901992798 8.2146596908569 8.7581901550293 8.4573497772217 8.4063701629639 8.6182298660278 8.2801679611206 8.2572820663452 8.4184280395508 8.7230200767517 8.6543159484863 8.3990201950073 8.2210998535156 8.6566801071167 8.441546758016 8.3901467323303 8.6651433308919 8.7019948959351 8.6912698745728 8.3954200744629 8.6299295425415 8.3474829991659 8.2856049537659 7.8268400828044 7.7505666414897
b1338 8.125880241394 8.1378297805786 8.237509727478 8.1814203262329 8.4723997116089 8.2813901901245 8.0394148826599 7.9292650222778 8.0488948822021 8.0101747512817 7.9441499710083 7.8850898742676 8.0290849208832 8.1489000320435 8.1290502548218 8.1114902496338 8.016960144043 8.1911001205444 7.964409828186 8.1729202270508 8.2547597885132 8.0098032951355 7.9993801116943 8.0743498802185 8.3966601689657 8.3593149185181 8.1114101409912 8.2684698104858 8.1678800582886 8.1106796264648 7.9996399879456 8.1930103302002 8.0263996124268 8.129340171814 8.0715799331665 8.1563301086426 8.0256520271301 8.036118221283 8.187154006958 8.2744898796082 8.5325740814209 8.5170602798462 7.8362398147583 8.461199760437 8.2972733179728 8.7580833435059 8.057076772054 8.3562498092651 8.2509698867798 8.233510017395 8.3018198013306 7.3019334475199 7.9514148235321 7.4506033261617 7.6852399508158
b1337 7.5185399055481 7.4869499206543 7.5954399108887 7.5236701965332 7.7780699729919 7.7493600845337 7.5351798534393 7.4952051639557 7.5817749500275 7.460125207901 7.6272501945496 7.3708300590515 7.5252401828766 7.5437700748444 7.6210598945618 7.574679851532 7.5180997848511 7.5002999305725 7.4360699653625 7.6699199676514 7.6910500526428 7.5756567319234 7.4337900479635 7.6049199104309 7.7375733057658 7.7926850318909 7.4780402183533 7.5771598815918 7.4004001617432 7.4951300621033 7.2802500724792 7.5621199607849 7.4526400566101 7.6057100296021 7.5596899986267 7.551609992981 7.4841800689697 7.5970820426941 7.7270579338074 7.6493949890137 7.8106300354004 7.8263201713562 7.202449798584 7.5473599433899 7.6997199058533 7.9755333264669 7.7628432909648 7.8427801132202 7.8096399307251 7.7482299804688 8.1180200576782 6.7359034220378 7.6134850978851 7.3443967501322 7.5898032188416
b1339 7.643159866333 7.532949924469 7.533549785614 7.457799911499 7.6684999465942 7.4702401161194 7.54243516922 7.2536599636078 7.4362199306488 7.4338500499725 7.5878200531006 7.4688348770142 7.2501800060272 7.4037201404572 7.6507902145386 7.6411900520325 7.4574398994446 7.6791000366211 7.2176599502563 7.2512001991272 7.4339098930359 7.5058765411377 7.4603034655253 7.5253966649373 7.7034066518148 7.599730014801 7.5970501899719 7.6007499694824 7.4252800941467 7.4351801872253 7.4171299934387 7.8456602096558 7.6685099601746 7.725860118866 7.4389801025391 7.4813599586487 7.4918460845947 7.5788840293884 7.8492819786072 7.5926299095154 8.0191221237183 7.950560092926 7.0851998329163 7.5357799530029 7.5432233810425 7.7907800674438 7.6380133628845 7.815505027771 7.5975699424744 7.5484499931335 8.0899496078491 7.269206682841 7.8289651870728 7.6674833297729 7.5808965365092
